member_id,first_name,last_name,mail,phone_num,membership_date
,Joshua,Martin,joshuamar@library.com,5471018498,2024-02-04
,Matthew,Tran,matthewtra@library.com,5102047383,2023-05-20
,Robert,Velasquez,robertvel@library.com,5179439172,2021-07-08
,Teresa,Reynolds,teresarey@library.com,5138908730,2023-08-25
,Jason,Garrison,jasongar@library.com,5077161540,2022-08-13
,Rodney,Ortiz,rodneyort@library.com,5515110102,2024-04-06
,Mary,Black,marybla@library.com,5387072690,2024-11-22
,Erica,Avila,ericaavi@library.com,5354861661,2024-11-13
,Joseph,Haynes,josephhay@library.com,5425265495,2021-01-27
,Christopher,Holt,christopherhol@library.com,5361014967,2024-04-22
,Lauren,Hanson,laurenhan@library.com,5091418071,2020-02-10
,Wanda,Robertson,wandarob@library.com,5509816216,2020-05-10
,Jaime,Burnett,jaimebur@library.com,5268107735,2020-12-13
,Lori,Osborne,loriosb@library.com,5466328241,2022-12-05
,Alyssa,Pierce,alyssapie@library.com,5532162362,2020-11-01
,Frank,Diaz,frankdia@library.com,5511834701,2022-01-01
,Joanna,Dixon,joannadix@library.com,5388340930,2021-09-28
,Joseph,Maddox,josephmad@library.com,5243171392,2020-11-27
,Heather,Williams,heatherwil@library.com,5196819261,2023-05-25
,Marcus,Black,marcusbla@library.com,5215689603,2023-08-26
,Jason,Davis,jasondav@library.com,5323017421,2023-02-18
,Joel,Bean,joelbea@library.com,5123028449,2021-05-29
,Sherry,Lam,sherrylam@library.com,5348806217,2023-08-15
,David,Wagner,davidwag@library.com,5156132930,2020-01-13
,John,Gates,johngat@library.com,5189162081,2023-06-15
,Crystal,Shannon,crystalsha@library.com,5118758115,2020-02-25
,Christopher,Cruz,christophercru@library.com,5499799731,2020-11-02
,Christine,Williams,christinewil@library.com,5120095412,2024-12-13
,Connor,Daniels,connordan@library.com,5182655881,2021-09-26
,Thomas,Rios,thomasrio@library.com,5076726281,2021-09-04
,Cynthia,Rivera,cynthiariv@library.com,5156131252,2022-09-16
,Zoe,Williams,zoewil@library.com,5193318576,2023-11-05
,Judith,Fox,judithfox@library.com,5462791906,2020-11-17
,Tyler,Barnes,tylerbar@library.com,5519437916,2021-06-19
,Charles,Estrada,charlesest@library.com,5111552379,2022-02-09
,Candice,Cooper,candicecoo@library.com,5080673795,2020-09-30
,Gary,Caldwell,garycal@library.com,5035063876,2022-03-28
,Eric,Esparza,ericesp@library.com,5213570870,2021-05-17
,Kelsey,Li,kelseyli@library.com,5359191776,2024-08-21
,David,Chandler,davidcha@library.com,5304785974,2023-06-13
,Laura,Adams,lauraada@library.com,5075953919,2023-08-11
,Michael,Foster,michaelfos@library.com,5159497244,2023-09-18
,Joseph,Cortez,josephcor@library.com,5273027902,2021-08-06
,Michael,Nelson,michaelnel@library.com,5499286239,2021-06-08
,Darrell,Douglas,darrelldou@library.com,5083410810,2021-11-02
,Jerry,Payne,jerrypay@library.com,5113784120,2024-06-27
,William,Lewis,williamlew@library.com,5266271263,2021-11-02
,Caitlin,Keith,caitlinkei@library.com,5220909934,2020-04-17
,Deanna,Johnson,deannajoh@library.com,5185143032,2023-08-21
,Stephanie,Armstrong,stephaniearm@library.com,5055248334,2024-02-03
,Crystal,Osborne,crystalosb@library.com,5477933693,2023-11-22
,Patricia,Riley,patriciaril@library.com,5486398741,2024-04-26
,Linda,Lopez,lindalop@library.com,5491684652,2020-05-11
,Christine,Cox,christinecox@library.com,5286451764,2020-12-03
,Jeffrey,Lowe,jeffreylow@library.com,5537150075,2022-10-21
,Chelsea,Baker,chelseabak@library.com,5517033851,2020-06-24
,Andrea,Williams,andreawil@library.com,5111009005,2020-02-19
,Jill,White,jillwhi@library.com,5042484910,2022-10-31
,Eric,Mcclure,ericmcc@library.com,5435097465,2023-01-20
,Teresa,Grant,teresagra@library.com,5240984871,2024-01-20
,Bryan,Guzman,bryanguz@library.com,5054662443,2021-03-18
,Larry,Adams,larryada@library.com,5186591988,2024-09-26
,Cassandra,Lee,cassandralee@library.com,5163466722,2022-08-31
,Andrea,Vargas,andreavar@library.com,5092417290,2022-11-14
,Robert,Williams,robertwil@library.com,5208551089,2021-02-03
,Holly,Rice,hollyric@library.com,5036512316,2023-09-15
,Charles,Morales,charlesmor@library.com,5195998683,2022-01-20
,Melissa,Dean,melissadea@library.com,5456962332,2022-09-08
,Scott,Santos,scottsan@library.com,5145146100,2021-03-10
,Christina,Mcconnell,christinamcc@library.com,5170093814,2020-01-21
,Jennifer,Anderson,jenniferand@library.com,5472256580,2023-01-20
,Gabriel,Simmons,gabrielsim@library.com,5047163373,2020-07-12
,Anita,Evans,anitaeva@library.com,5344486240,2020-09-12
,Brian,Brown,brianbro@library.com,5255914802,2020-01-29
,Heather,Cooley,heathercoo@library.com,5531246720,2022-06-05
,Susan,Pitts,susanpit@library.com,5170452825,2021-03-28
,William,Carroll,williamcar@library.com,5305725570,2020-09-30
,Dorothy,Reese,dorothyree@library.com,5079254151,2020-02-03
,James,Clay,jamescla@library.com,5168544725,2021-05-27
,David,Sullivan,davidsul@library.com,5036352488,2022-08-12
,Linda,Payne,lindapay@library.com,5320282331,2024-05-10
,Michelle,Yang,michelleyan@library.com,5070885458,2024-09-01
,Michael,Brown,michaelbro@library.com,5366785066,2022-06-06
,Daniel,Howard,danielhow@library.com,5301488818,2022-07-12
,Kayla,Carpenter,kaylacar@library.com,5396862023,2023-12-19
,Jill,Taylor,jilltay@library.com,5279453245,2024-07-02
,James,Lynch,jameslyn@library.com,5525350509,2022-10-23
,Jacqueline,Ramos,jacquelineram@library.com,5275353173,2021-04-04
,David,Rollins,davidrol@library.com,5166613413,2020-04-07
,Mark,Castillo,markcas@library.com,5179937360,2022-10-16
,William,Shaw,williamsha@library.com,5100083448,2021-04-27
,Laurie,Stephens,laurieste@library.com,5097588285,2024-08-26
,Angela,Willis,angelawil@library.com,5228940064,2021-12-24
,Diane,Payne,dianepay@library.com,5067591889,2024-07-04
,Robert,Horn,roberthor@library.com,5440341145,2023-04-22
,Lindsey,Johnson,lindseyjoh@library.com,5320235356,2023-07-15
,Andre,Soto,andresot@library.com,5302386150,2020-10-23
,Natasha,Kelly,natashakel@library.com,5109041800,2021-05-20
,Melissa,Wyatt,melissawya@library.com,5125184773,2021-09-18
,Jeffrey,Barnett,jeffreybar@library.com,5323686324,2024-10-14
,Richard,Nielsen,richardnie@library.com,5262359479,2020-04-24
,Cynthia,Jimenez,cynthiajim@library.com,5047965054,2023-06-09
,Nicholas,Hansen,nicholashan@library.com,5338306003,2020-08-09
,Shane,Smith,shanesmi@library.com,5286868091,2022-02-23
,Lori,Mcdaniel,lorimcd@library.com,5134572334,2023-04-01
,Jodi,Harper,jodihar@library.com,5220163467,2021-07-05
,Kimberly,Campbell,kimberlycam@library.com,5175942309,2022-01-12
,Steve,Miles,stevemil@library.com,5413229646,2022-08-27
,Hannah,Peterson,hannahpet@library.com,5498019684,2020-07-25
,Taylor,Kelly,taylorkel@library.com,5123024203,2023-01-01
,Phillip,Downs,phillipdow@library.com,5407045326,2020-01-28
,Nicholas,Morales,nicholasmor@library.com,5202355886,2023-01-03
,Lauren,Powell,laurenpow@library.com,5212005140,2023-06-05
,Christian,Hill,christianhil@library.com,5173107068,2022-01-09
,Kristen,Beck,kristenbec@library.com,5086022358,2020-08-03
,Cindy,Cooper,cindycoo@library.com,5529765520,2022-06-18
,Jeremy,Wright,jeremywri@library.com,5171839359,2021-08-02
,Pamela,Carter,pamelacar@library.com,5493419919,2024-05-26
,Joseph,Vasquez,josephvas@library.com,5299235537,2022-10-08
,Nathaniel,Sanchez,nathanielsan@library.com,5517249743,2023-03-29
,Lori,Stewart,loriste@library.com,5372008854,2022-08-21
,April,Norton,aprilnor@library.com,5262757868,2024-11-02
,James,Wilson,jameswil@library.com,5256339573,2020-10-15
,William,Torres,williamtor@library.com,5328999057,2020-02-05
,Leonard,Herrera,leonardher@library.com,5320963823,2021-08-08
,Richard,Burns,richardbur@library.com,5346257629,2021-04-13
,Stephanie,Hardin,stephaniehar@library.com,5458924263,2022-10-06
,Katherine,Chen,katherineche@library.com,5469050412,2023-07-01
,Michael,Wright,michaelwri@library.com,5216395706,2023-10-23
,Dustin,Hines,dustinhin@library.com,5042676726,2020-11-06
,Nicholas,Rodriguez,nicholasrod@library.com,5306870609,2024-04-05
,Laura,Kent,lauraken@library.com,5453932718,2024-02-25
,Brittany,Wood,brittanywoo@library.com,5312512331,2020-04-19
,Andrea,Roberts,andrearob@library.com,5444162091,2021-12-22
,Kyle,Cameron,kylecam@library.com,5253697817,2022-07-18
,Susan,Ortega,susanort@library.com,5528721405,2020-02-06
,Timothy,Scott,timothysco@library.com,5516345868,2020-08-04
,David,Juarez,davidjua@library.com,5063312851,2021-04-17
,Victor,Weaver,victorwea@library.com,5143002410,2022-03-19
,Anthony,Banks,anthonyban@library.com,5119983652,2020-01-23
,Charles,Richardson,charlesric@library.com,5045865332,2021-02-02
,Kelly,Garcia,kellygar@library.com,5070812813,2020-03-30
,Micheal,Robles,michealrob@library.com,5049095502,2021-02-23
,Timothy,Gonzalez,timothygon@library.com,5173287656,2022-04-27
,Jerry,Rivera,jerryriv@library.com,5041020540,2024-04-30
,William,Ortega,williamort@library.com,5241315770,2021-12-25
,Laura,Gonzales,lauragon@library.com,5150956573,2023-07-07
,Jocelyn,Diaz,jocelyndia@library.com,5376844522,2023-11-04
,Sean,Marshall,seanmar@library.com,5273037660,2021-11-18
,Alice,Sanchez,alicesan@library.com,5279196446,2022-03-22
,Arthur,Sawyer,arthursaw@library.com,5537103516,2020-02-10
,Richard,Schneider,richardsch@library.com,5107156641,2022-06-03
,Timothy,Taylor,timothytay@library.com,5323730756,2022-10-30
,Karen,Moore,karenmoo@library.com,5485931789,2023-04-26
,Sandra,Mitchell,sandramit@library.com,5146586391,2023-12-21
,Katie,Hudson,katiehud@library.com,5241288415,2020-09-20
,Brandon,Davis,brandondav@library.com,5055625586,2020-06-17
,Dillon,Fischer,dillonfis@library.com,5133996808,2024-05-03
,Lindsey,Taylor,lindseytay@library.com,5466391879,2020-07-12
,James,Small,jamessma@library.com,5462670101,2023-12-27
,Dylan,Jones,dylanjon@library.com,5359251206,2020-12-17
,Justin,Hamilton,justinham@library.com,5160010028,2022-01-08
,John,Middleton,johnmid@library.com,5226320968,2024-02-06
,Sheri,Watson,sheriwat@library.com,5413120615,2021-05-23
,Erica,Hernandez,ericaher@library.com,5131201975,2022-05-27
,Brianna,Alexander,briannaale@library.com,5260587263,2021-02-19
,Kathryn,Gonzalez,kathryngon@library.com,5273265867,2020-02-05
,Cheryl,Nelson,cherylnel@library.com,5224207613,2020-07-18
,Teresa,Jenkins,teresajen@library.com,5295212650,2024-07-05
,William,Crosby,williamcro@library.com,5301213019,2024-11-13
,Joseph,Rosario,josephros@library.com,5329196724,2024-03-27
,Gordon,Santana,gordonsan@library.com,5084635620,2022-06-03
,Anthony,Gonzalez,anthonygon@library.com,5119063458,2021-01-02
,Michelle,George,michellegeo@library.com,5525509945,2023-03-29
,Mike,Rasmussen,mikeras@library.com,5042888357,2023-02-05
,Rachel,Oliver,racheloli@library.com,5347727187,2020-03-12
,Luis,Crawford,luiscra@library.com,5050625935,2021-12-22
,Curtis,Miller,curtismil@library.com,5214944585,2022-01-02
,Curtis,Stewart,curtisste@library.com,5353596460,2020-01-04
,Ronald,Flores,ronaldflo@library.com,5058259234,2023-05-22
,Brandon,Taylor,brandontay@library.com,5090390699,2020-08-29
,Ashley,Cochran,ashleycoc@library.com,5302888342,2023-03-28
,Patricia,Hart,patriciahar@library.com,5517123428,2022-08-26
,Sabrina,Johnson,sabrinajoh@library.com,5441772318,2021-09-25
,Kimberly,Petty,kimberlypet@library.com,5266699616,2022-03-02
